name,category,target_rationale,evidence_level,pubchem_cid,molecular_formula,molecular_weight,smiles_canonical_rdkit,smiles_pubchem_raw
disulfiram,repurposing_candidate,"Cu-mediated covalent binding to KRAS cysteine residues, disrupts GTP binding",computational/preclinical,3117,C10H20N2S4,296.5,CCN(CC)C(=S)SSC(=S)N(CC)CC,CCN(CC)C(=S)SSC(=S)N(CC)CC
aspirin,repurposing_candidate,"Proposed covalent acetylation of a KRAS switch-II cysteine (RepoRx computational docking claim, untested against G12C-mutant structure)","speculative (RepoRx, unverified)",2244,C9H8O4,180.16,CC(=O)Oc1ccccc1C(=O)O,CC(=O)OC1=CC=CC=C1C(=O)O
itraconazole,repurposing_candidate,Proposed KRAS-GLI1/hedgehog axis disruption (RepoRx repurposing-screen claim),"speculative (RepoRx, unverified)",55283,C35H38Cl2N8O4,705.6,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5CO[C@](O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl
cimetidine,repurposing_candidate,Proposed histamine-RAS-ERK axis inhibition (RepoRx pharmacovigilance/screen claim),"speculative (RepoRx, unverified)",2756,C10H16N6S,252.34,CN=C(NC#N)NCCSCc1nc[nH]c1C,CC1=C(N=CN1)CSCCNC(=NC)NC#N
doxycycline,repurposing_candidate,Proposed KRAS/ERK2 and EMT inhibition via MMP blockade (RepoRx repurposing-screen claim),"speculative (RepoRx, unverified)",54671203,C22H24N2O8,444.4,C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
propranolol,repurposing_candidate,Originally proposed by RepoRx against ERK2 (not in our scope); included here to test for an unanticipated EGFR/KRAS hit,"speculative (RepoRx, off-target retest)",4946,C16H21NO2,259.34,CC(C)NCC(O)COc1cccc2ccccc12,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
thalidomide,repurposing_candidate,Originally proposed by RepoRx against ERK2 (not in our scope); included here to test for an unanticipated EGFR/KRAS hit,"speculative (RepoRx, off-target retest)",5426,C13H10N2O4,258.23,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O
verapamil,repurposing_candidate,Originally proposed by RepoRx against ERK2 (not in our scope); included here to test for an unanticipated EGFR/KRAS hit,"speculative (RepoRx, off-target retest)",2520,C27H38N2O4,454.6,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
acebutolol,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C18H28N2O4,336.4,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1
acetaminophen,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C8H9NO2,151.2,CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1
acetazolamide,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C4H6N4O3S2,222.3,CC(=O)Nc1nnc(S(N)(=O)=O)s1,CC(=O)Nc1nnc(S(N)(=O)=O)s1
acetylcysteine,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C5H9NO3S,163.2,CC(=O)N[C@@H](CS)C(=O)O,CC(=O)N[C@@H](CS)C(=O)O
adenosine,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C10H13N5O4,267.2,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
agomelatine,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C15H17NO2,243.3,COc1ccc2cccc(CCNC(C)=O)c2c1,COc1ccc2cccc(CCNC(C)=O)c2c1
alfentanil,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C21H32N6O3,416.5,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1
alprostadil,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C20H34O5,354.5,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
amdinocillin,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C15H23N3O3S,325.4,CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O
aminoglutethimide,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C13H16N2O2,232.3,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
aminohippuric-acid,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C9H10N2O3,194.2,Nc1ccc(C(=O)NCC(=O)O)cc1,Nc1ccc(C(=O)NCC(=O)O)cc1
amiodarone,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C25H29I2NO3,645.3,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
amitriptyline,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C20H23N,277.4,CN(C)CCC=C1c2ccccc2CCc2ccccc21,CN(C)CCC=C1c2ccccc2CCc2ccccc21
amobarbital,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C11H18N2O3,226.3,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
amprenavir,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C25H35N3O6S,505.6,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
amsacrine,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C21H19N3O3S,393.5,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
apomorphine,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C17H17NO2,267.3,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
aprobarbital,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C10H14N2O3,210.2,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
atenolol,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C14H22N2O3,266.3,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
atomoxetine,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C17H21NO,255.4,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,CNCC[C@@H](Oc1ccccc1C)c1ccccc1
azelastine,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C22H24ClN3O,381.9,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1
barbital,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C8H12N2O3,184.2,CCC1(CC)C(=O)NC(=O)NC1=O,CCC1(CC)C(=O)NC(=O)NC1=O
benznidazole,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C12H12N4O3,260.3,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
benzydamine,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C19H23N3O,309.4,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12
betamethasone,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C22H29FO5,392.5,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
betaxolol,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C18H29NO3,307.4,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
bicalutamide,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C18H14F4N2O4S,430.4,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
bifonazole,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C22H18N2,310.4,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1
bromazepam,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C14H10BrN3O,316.2,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1
bromocriptine,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C32H40BrN5O5,654.6,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
buspirone,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C21H31N5O2,385.5,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
butabarbital,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C10H16N2O3,212.2,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
butalbital,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C11H16N2O3,224.3,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
caffeine,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C8H10N4O2,194.2,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)c2c(ncn2C)n(C)c1=O
carbamazepine,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C15H12N2O,236.3,NC(=O)N1c2ccccc2C=Cc2ccccc21,NC(=O)N1c2ccccc2C=Cc2ccccc21
carmustine,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C5H9Cl2N3O2,214.1,O=NN(CCCl)C(=O)NCCCl,O=NN(CCCl)C(=O)NCCCl
cefprozil-anhydrous-e,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C18H19N3O5S,389.4,C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1
ceftizoxime,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C13H13N5O5S2,383.4,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1
celecoxib,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C17H14F3N3O2S,381.4,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
cephalothin,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C16H16N2O6S2,396.4,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1
chlorambucil,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C14H19Cl2NO2,304.2,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
chloramphenicol,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C11H12Cl2N2O5,323.1,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
chlordiazepoxide,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C16H14ClN3O,299.8,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
chloroquine,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C18H26ClN3,319.9,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
chlorpheniramine,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C16H19ClN2,274.8,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
chlorpromazine,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C17H19ClN2S,318.9,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
chlorpropamide,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C10H13ClN2O3S,276.7,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
ciprofloxacin,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C17H18FN3O3,331.3,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
citalopram,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C20H21FN2O,324.4,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
clidinium,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C22H26NO3+,352.5,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2
clioquinol,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C9H5ClINO,305.5,Oc1c(I)cc(Cl)c2cccnc12,Oc1c(I)cc(Cl)c2cccnc12
clofibrate,approved_library,"FDA/EMA-approved small molecule (ChEMBL max_phase=4); unbiased repurposing-library screen, no target-specific rationale",approved (library screen),,C12H15ClO3,242.7,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
